Wavelength,Up1_NoND,Down_NoND,Up2_NoND
300,-5.291674e-08,-1.9435665e-06,-5.9592885e-08
310,-1.0385444999999999e-07,-2.161881e-06,-1.1566245e-07
320,-1.848589e-07,-2.1976644999999997e-06,-2.0341465e-07
330,-3.0079945e-07,-2.1426325e-06,-3.3032399999999996e-07
340,-4.4118035e-07,-2.1052485e-06,-4.812062999999999e-07
350,-5.821698e-07,-2.2427835e-06,-6.277562e-07
360,-6.423224e-07,-2.2678055e-06,-6.8568425e-07
370,-7.6753305e-07,-2.383827e-06,-8.091901500000001e-07
380,-9.9545935e-07,-2.4919934999999997e-06,-1.0472375e-06
390,-1.2449925e-06,-2.5170955e-06,-1.288911e-06
400,-1.4558215e-06,-2.5200795e-06,-1.4997955e-06
410,-1.5998665e-06,-2.4835575e-06,-1.6422635e-06
420,-1.7767825000000001e-06,-2.4321225e-06,-1.8136805e-06
430,-1.84837e-06,-2.407615e-06,-1.8895675e-06
440,-1.9196145e-06,-2.4432730000000003e-06,-1.954611e-06
450,-2.095974e-06,-2.49225e-06,-2.1194085e-06
460,-2.3706365e-06,-2.4289739999999997e-06,-2.379966e-06
470,-2.6879295e-06,-2.3976925000000003e-06,-2.693625e-06
480,-2.439765e-06,-2.379142e-06,-2.4389880000000004e-06
490,-2.4189435e-06,-2.3417835e-06,-2.4042955e-06
500,-2.354045e-06,-2.367832e-06,-2.3466945e-06
510,-2.333724e-06,-2.4266940000000002e-06,-2.322186e-06
520,-2.3735685e-06,-2.4628075e-06,-2.353924e-06
530,-2.3915025e-06,-2.715116e-06,-2.3642975e-06
540,-2.4284565e-06,-2.3967975e-06,-2.4066e-06
550,-2.492891e-06,-2.1266385e-06,-2.4628344999999997e-06
560,-2.4409919999999998e-06,-1.9581364999999998e-06,-2.4101610000000002e-06
570,-2.407595e-06,-1.894015e-06,-2.376268e-06
580,-2.435885e-06,-1.824869e-06,-2.3923790000000002e-06
590,-2.4823559999999998e-06,-1.6460055e-06,-2.4408039999999997e-06
600,-2.520001e-06,-1.5058e-06,-2.467749e-06
610,-2.5235605e-06,-1.2914215e-06,-2.4675575000000003e-06
620,-2.494415e-06,-1.0444819999999998e-06,-2.439101e-06
630,-2.3842900000000003e-06,-8.0814725e-07,-2.3593125e-06
640,-2.2681515e-06,-6.8541805e-07,-2.2439255e-06
650,-2.2392915e-06,-6.248909e-07,-2.2158930000000003e-06
660,-2.1040200000000002e-06,-4.810681e-07,-2.082375e-06
670,-2.1415925e-06,-3.2798224999999996e-07,-2.1164265e-06
680,-2.2000125e-06,-2.0275995e-07,-2.1705215e-06
690,-2.163009e-06,-1.153953e-07,-2.1343405e-06
700,-1.9422465e-06,-5.96365e-08,-1.9236475e-06
