Responsivity of Hamamatsu S2281 Si Photodiode, 7J060 (319);;
Lab Temperature: 22.2 °C ± 0.5 °C;;
Work. Stds.:;6J088;6J084
Test Date:;10. Sep 19;
Wavelength [nm];Spectral power responsivity [A/W];Relative expanded uncertainty   (k = 2) [%]
300;0.1252;0.66
305;0.1298;0.64
310;0.1327;0.64
315;0.1354;0.62
320;0.1376;0.60
325;0.1393;0.60
330;0.1407;0.58
335;0.1424;0.58
340;0.1437;0.58
345;0.1445;0.56
350;0.1445;0.56
355;0.1432;0.54
360;0.1411;0.44
365;0.1401;0.38
370;0.1416;0.36
375;0.1463;0.36
380;0.1530;0.34
385;0.1598;0.34
390;0.1661;0.32
395;0.1718;0.32
400;0.1771;0.30
405;0.1821;0.30
410;0.1868;0.28
415;0.1912;0.28
420;0.1954;0.28
425;0.1996;0.26
430;0.2035;0.26
435;0.2073;0.24
440;0.2111;0.24
445;0.2148;0.22
450;0.2183;0.22
455;0.2219;0.20
460;0.2253;0.19
465;0.2286;0.18
470;0.2320;0.18
475;0.2356;0.17
480;0.2389;0.16
485;0.2421;0.15
490;0.2453;0.14
495;0.2484;0.13
500;0.2516;0.13
505;0.2548;0.12
510;0.2579;0.11
515;0.2610;0.10
520;0.2640;0.098
525;0.2671;0.092
530;0.2702;0.086
535;0.2732;0.082
540;0.2762;0.080
545;0.2792;0.076
550;0.2822;0.076
555;0.2851;0.076
560;0.2881;0.076
565;0.2910;0.076
570;0.2940;0.076
575;0.2969;0.076
580;0.2999;0.074
585;0.3027;0.076
590;0.3057;0.074
595;0.3086;0.074
600;0.3114;0.074
605;0.3143;0.074
610;0.3172;0.074
615;0.3200;0.074
620;0.3228;0.074
625;0.3257;0.074
630;0.3285;0.072
635;0.3314;0.072
640;0.3342;0.072
645;0.3370;0.072
650;0.3399;0.072
655;0.3428;0.072
660;0.3457;0.072
665;0.3485;0.072
670;0.3513;0.072
675;0.3541;0.074
680;0.3569;0.072
685;0.3597;0.072
690;0.3625;0.072
695;0.3653;0.072
700;0.3681;0.072
705;0.3709;0.072
710;0.3737;0.072
715;0.3765;0.072
720;0.3792;0.072
725;0.3820;0.072
730;0.3848;0.072
735;0.3877;0.072
740;0.3904;0.072
745;0.3932;0.072
750;0.3959;0.072
755;0.3987;0.074
760;0.4014;0.072
765;0.4042;0.072
770;0.4069;0.072
775;0.4096;0.072
780;0.4125;0.072
785;0.4152;0.072
790;0.4180;0.072
795;0.4208;0.072
800;0.4234;0.074
805;0.4261;0.072
810;0.4289;0.072
815;0.4317;0.072
820;0.4344;0.072
825;0.4372;0.070
830;0.4399;0.070
835;0.4426;0.070
840;0.4454;0.070
845;0.4481;0.070
850;0.4508;0.070
855;0.4535;0.070
860;0.4564;0.072
865;0.4590;0.072
870;0.4618;0.072
875;0.4644;0.070
880;0.4671;0.072
885;0.4699;0.072
890;0.4726;0.074
895;0.4754;0.072
900;0.4781;0.074
905;0.4808;0.078
910;0.4836;0.076
915;0.4863;0.080
920;0.4889;0.092
925;0.4915;0.098
930;0.4940;0.11
935;0.4963;0.096
940;0.4986;0.10
945;0.5005;0.11
950;0.5023;0.11
955;0.5034;0.12
960;0.5041;0.12
965;0.5041;0.15
970;0.5031;0.16
975;0.5012;0.19
980;0.4980;0.22
985;0.4934;0.24
990;0.4874;0.28
995;0.4797;0.30
1000;0.4707;0.30
1005;0.4601;0.30
1010;0.4459;0.30
1015;0.4293;0.32
1020;0.4105;0.30
1025;0.3888;0.32
1030;0.3645;0.30
1035;0.3385;0.32
1040;0.3112;0.32
1045;0.2825;0.32
1050;0.2537;0.32
1055;0.2258;0.34
1060;0.1971;0.32
1065;0.1729;0.30
1070;0.1552;0.32
1075;0.1391;0.32
1080;0.1246;0.32
1085;0.1112;0.32
1090;0.0989;0.30
1095;0.0877;0.32
1100;0.0776;0.32
